NUM,LOCATION,X,Y
1153059500,서울특별시 구로구 가리봉동,945901,1942816
1153072000,서울특별시 구로구 고척제1동,943644,1944728
1153073000,서울특별시 구로구 고척제2동,942946,1945279
1153074000,서울특별시 구로구 개봉제1동,942078,1944825
1153075000,서울특별시 구로구 개봉제2동,943203,1943868
1153076000,서울특별시 구로구 개봉제3동,942673,1943218
1153076500,서울특별시 구로구 개봉본동,942078,1944825
1153077000,서울특별시 구로구 오류제1동,941889,1944386
1153078000,서울특별시 구로구 오류제2동,941087,1943016
1153079000,서울특별시 구로구 수궁동,940469,1944604
1153080000,서울특별시 구로구 항동,940375,1942630
1154551000,서울특별시 금천구 가산동,945799,1941991
1154551500,서울특별시 금천구 가산동민원분소,945799,1941991
1154561000,서울특별시 금천구 독산제1동,946391,1940859
1154561500,서울특별시 금천구 독산제1동분소,946391,1940859
1154562000,서울특별시 금천구 독산제2동,947006,1940553
1154563000,서울특별시 금천구 독산제3동,947392,1942016
1154564000,서울특별시 금천구 독산제4동,947299,1941286
1154565000,서울특별시 금천구 독산본동,947392,1942016
1154566000,서울특별시 금천구 시흥본동,946980,1939518
1154567000,서울특별시 금천구 시흥제1동,946980,1939518
1154568000,서울특별시 금천구 시흥제2동,948757,1939208
1154569000,서울특별시 금천구 시흥제3동,947545,1938102
1154570000,서울특별시 금천구 시흥제4동,947778,1940194
1154571000,서울특별시 금천구 시흥제5동,947686,1939033
1156051000,서울특별시 영등포구 영등포제1동,947846,1946188
1156051500,서울특별시 영등포구 영등포본동,947846,1946188
1156052000,서울특별시 영등포구 영등포제2동,947676,1947313
1156053000,서울특별시 영등포구 영등포제3동,947676,1947313
1156053500,서울특별시 영등포구 영등포동,947676,1947313
1156054000,서울특별시 영등포구 여의동,949444,1947871
1156055000,서울특별시 영등포구 당산제1동,946718,1947379
1156056000,서울특별시 영등포구 당산제2동,947305,1948409
1156057000,서울특별시 영등포구 도림제1동,946967,1945693
1156058000,서울특별시 영등포구 도림제2동,946763,1945673
1156058500,서울특별시 영등포구 도림동,946967,1945693
1156059000,서울특별시 영등포구 문래제1동,946294,1946434
1156060000,서울특별시 영등포구 문래제2동,946294,1946434
1156060500,서울특별시 영등포구 문래동,946294,1946434
1156061000,서울특별시 영등포구 양평제1동,945805,1947556
1156062000,서울특별시 영등포구 양평제2동,946610,1949052
1156063000,서울특별시 영등포구 신길제1동,948782,1946080
1156064000,서울특별시 영등포구 신길제2동,947846,1946188
1156065000,서울특별시 영등포구 신길제3동,947530,1945452
1156066000,서울특별시 영등포구 신길제4동,948130,1945530
1156067000,서울특별시 영등포구 신길제5동,947470,1944794
1156068000,서울특별시 영등포구 신길제6동,948224,1944516
1156069000,서울특별시 영등포구 신길제7동,948907,1945518
1156070000,서울특별시 영등포구 대림제1동,947422,1943945
1156071000,서울특별시 영등포구 대림제2동,946990,1943579
1156072000,서울특별시 영등포구 대림제3동,946733,1944711
1159051000,서울특별시 동작구 노량진제1동,951480,1946101
1159052000,서울특별시 동작구 노량진제2동,950283,1945905
1159053000,서울특별시 동작구 상도제1동,951570,1944662
1159054000,서울특별시 동작구 상도제2동,950603,1945033
1159055000,서울특별시 동작구 상도제3동,949819,1944404
1159056000,서울특별시 동작구 상도제4동,950617,1944412
1159056100,서울특별시 동작구 상도제5동,951570,1944662
1159057000,서울특별시 동작구 본동,951480,1946101
1159058000,서울특별시 동작구 흑석제1동,952551,1945260
1159059000,서울특별시 동작구 흑석제2동,952551,1945260
1159060000,서울특별시 동작구 흑석제3동,952631,1945095
1159060500,서울특별시 동작구 흑석동,952551,1945260
1159061000,서울특별시 동작구 동작동,953468,1944472
1159062000,서울특별시 동작구 사당제1동,953845,1942463
1159063000,서울특별시 동작구 사당제2동,953468,1944472
1159064000,서울특별시 동작구 사당제3동,953181,1943428
1159065000,서울특별시 동작구 사당제4동,953202,1942517
1159065100,서울특별시 동작구 사당제5동,952705,1943204
1159066000,서울특별시 동작구 대방동,949539,1945442
1159067000,서울특별시 동작구 신대방제1동,947986,1943663
1159068000,서울특별시 동작구 신대방제2동,948787,1944015
1162051000,서울특별시 관악구 봉천본동,950782,1943255
1162052000,서울특별시 관악구 봉천제1동,949778,1943636
1162052500,서울특별시 관악구 보라매동,949778,1943636
1162053000,서울특별시 관악구 봉천제2동,951514,1943542
1162054000,서울특별시 관악구 봉천제3동,952223,1943469
1162054500,서울특별시 관악구 청림동,952200,1943507
1162055000,서울특별시 관악구 봉천제4동,951017,1942184
1162056000,서울특별시 관악구 봉천제5동,951514,1943542
1162056500,서울특별시 관악구 성현동,951514,1943542
1162057000,서울특별시 관악구 봉천제6동,952178,1942539
1162057500,서울특별시 관악구 행운동,952178,1942539
1162058000,서울특별시 관악구 봉천제7동,952173,1941136
1162058500,서울특별시 관악구 낙성대동,952173,1941136
1162059000,서울특별시 관악구 봉천제8동,951017,1942184
1162059500,서울특별시 관악구 청룡동,951017,1942184
1162060000,서울특별시 관악구 봉천제9동,950782,1943255
1162060500,서울특별시 관악구 은천동,950782,1943255
1162061000,서울특별시 관악구 봉천제10동,951451,1942908
1162061500,서울특별시 관악구 중앙동,951451,1942908
1162062000,서울특별시 관악구 봉천제11동,952835,1941575
1162062500,서울특별시 관악구 인헌동,952835,1941575
1162063000,서울특별시 관악구 남현동,953891,1940397
1162064000,서울특별시 관악구 신림본동,949921,1942474
1162064500,서울특별시 관악구 서원동,949921,1942474
1162065000,서울특별시 관악구 신림제1동,949360,1942364
1162065500,서울특별시 관악구 신원동,949360,1942364
1162066000,서울특별시 관악구 신림제2동,950454,1941764
